time v(/en) v(/clk) v(/rstb) v(/serial_out) v(/net97) v(/en_out)
0.000150302617153529 2.49999999999782 0.986914232831704 2.49999999998218 1.18911743719663 0.00738782034824433 0.00679082676059269
0.000150302703178102 2.50000000000856 0.986484109892137 2.50000000006521 1.18906710608495 0.00717947302235068 0.00669271187180638
0.00015030279648139 2.49999999999352 0.986017593519225 2.50000000000042 1.18903922207897 0.0070631611684621 0.00664493156588692
0.000150302888490836 2.50000000000572 0.985557546223933 2.50000000005374 1.18907277725331 0.00695678034096925 0.00660991313779128
0.000150302993475523 2.49999999999054 0.985032622793447 2.49999999995766 1.18901692264335 0.0067915937949234 0.00652164714824337
0.000150303159955873 2.50000000000783 0.98420022104531 2.50000000006938 1.18902335345793 0.00667351185754824 0.00646129905753001
0.000150303352567289 2.49999999998992 0.983237163939113 2.49999999992911 1.18899777774357 0.00647589424104839 0.00634919927163413
0.000150303541208287 2.50000000000824 0.982293958960864 2.50000000006693 1.18896868279246 0.00636731230618973 0.00626648064465836
0.000150303763528506 2.49999999999049 0.98118235785056 2.49999999992171 1.18897145275226 0.00622266587139149 0.00616877115489927
0.000150304013454386 2.50000000000762 0.979932728453149 2.50000000005666 1.18891878552439 0.00608227040067074 0.00604660581706783
0.000150304327057525 2.4999999999914 0.978364712762985 2.49999999992509 1.18892462509982 0.00594357738142947 0.00592739783992392
0.000150304772133474 2.50000000000699 0.976139332999773 2.50000000004747 1.18885410550336 0.00572364757968115 0.00572254079408178
0.000150305510140897 2.49999999999194 0.972449295901482 2.49999999992923 1.18882740566371 0.00544778582616719 0.0054488915184945
0.000150306425592347 2.50000000000674 0.967872038622493 2.50000000004493 1.18872816306782 0.00508362388109235 0.00509206019688982
0.000150307757246494 2.49999999999231 0.961213767902428 2.49999999993469 1.18867136478071 0.00468254333179771 0.00468308319738138
0.000150309343024113 2.50000000000675 0.953284879749927 2.50000000004719 1.18855819817883 0.00424991192817658 0.00425743938450972
0.000150311732004979 2.4999999999927 0.941339975329786 2.49999999994233 1.18850695119027 0.00390399185599439 0.00390147526332914
0.000150313787868437 2.50000000000691 0.931060658004869 2.50000000005025 1.18843848497462 0.00367866355828469 0.00368461268832301
0.000150315810169273 2.49999999999287 0.920949153832686 2.49999999994498 1.18843213968007 0.00354758693955206 0.00354387146854788
0.000150318123250145 2.50000000000684 0.909383749436783 2.50000000004969 1.18837335435416 0.00336208395620991 0.00336805240002216
0.000150321047163087 2.49999999999299 0.89476418474782 2.49999999994649 1.18836133237427 0.00320808428618301 0.00320385620470442
0.000150325380200297 2.50000000000678 0.873098998665178 2.50000000004906 1.18828247534664 0.00291857625174491 0.00292466783848018
0.000150329643007964 2.49999999999305 0.851784960362192 2.49999999994722 1.18825587508116 0.0026954636699105 0.00269102366852267
0.000150336127365919 2.50000000000673 0.819363170554268 2.50000000004857 1.18815418464384 0.00228819782269116 0.00229439842396182
0.000150343442881608 2.49999999999309 0.782785592136215 2.49999999994776 1.18809516297697 0.0019051043003258 0.00190050519045763
0.000150352215964486 2.50000000000671 0.738920177703576 2.50000000004845 1.18797710385737 0.0014101477512281 0.00141640199007272
0.000150364524851287 2.49999999999314 0.677375743727941 2.49999999994849 1.18788715660986 0.000870347968837697 0.000865475916748203
0.000150376496886863 2.50000000000673 0.617515565798507 2.50000000004897 1.18777950985279 0.000422117325529905 0.000428011688201985
0.000150400440958016 2.49999999999322 0.497795210047103 2.49999999994995 1.18772769332969 7.39441676064241e-05 6.84470062149185e-05
0.000150418633516059 2.50000000000676 0.406832419788244 2.5000000000497 1.18769357369973 -7.57795951040938e-06 -2.04159760833344e-06
0.000150434296462735 2.49999999999324 0.328517686447294 2.49999999995028 1.1877159047011 1.54630644655881e-05 9.8522749554255e-06
0.000150452660658527 2.50000000000674 0.236696707449533 2.50000000004956 1.18769217788681 -1.51873582073897e-05 -9.6226269069715e-06
0.000150473004414012 2.49999999999325 0.134977930065364 2.49999999995042 1.1877156655183 1.44975911986428e-05 8.85051141921363e-06
0.0001505 2.50000000000673 9.06003403533021e-11 2.50000000004945 1.18769226927465 -1.53372065991678e-05 -9.74392398094721e-06
0.000150510060743227 2.5 -5.59267909761019e-13 2.5 1.18770405743576 8.13421895535327e-08 3.9263853892698e-08
0.000150523765323242 2.49999999999999 -5.43246003736897e-14 2.49999999999992 1.18770410513455 6.01742244948802e-08 3.59564097512504e-08
0.000150536919732552 2.5 5.56226876925938e-14 2.5 1.18770408678372 7.11932692345835e-08 2.92169715583763e-08
0.000150563228551171 2.49999999999999 -5.61889249251137e-14 2.49999999999992 1.1877041508803 5.61484478198902e-08 3.17828397498122e-08
0.00015061584618841 2.5 5.65500948175673e-14 2.5 1.18770417824228 6.49924584152147e-08 2.30195418929227e-08
0.000150721081462888 2.49999999999999 -5.66436968607435e-14 2.49999999999992 1.1877043351024 4.90448025264745e-08 2.45853309540903e-08
0.000150906627287526 2.5 5.67919660212696e-14 2.5 1.18770451877 5.83592666804272e-08 1.63304170940808e-08
0.000151161117114006 2.49999999999999 -5.67918468299009e-14 2.49999999999992 1.18770485135512 4.46293657106975e-08 2.00968602392852e-08
0.000151521796991074 2.5 5.68997014024639e-14 2.5 1.18770524043516 5.57368457463144e-08 1.36527621213503e-08
0.000152051174979571 2.49999999999999 -5.68663586232625e-14 2.49999999999992 1.18770589416793 4.29476287577097e-08 1.833716987602e-08
0.000152859780537952 2.5 5.69496185511382e-14 2.5 1.18770680410962 5.45963729306663e-08 1.241599017256e-08
0.000154061906021226 2.49999999999999 -5.68996753513007e-14 2.49999999999992 1.18770823472333 4.2253429696212e-08 1.74998183374233e-08
0.00015582250339824 2.5 5.69716006725016e-14 2.5 1.18771023190253 5.4249461267693e-08 1.18688694713169e-08
0.00015841508562284 2.49999999999999 -5.69155288968643e-14 2.49999999999992 1.18771322577835 4.21971792039215e-08 1.71523521970898e-08
0.000162274112034146 2.5 5.69810094091138e-14 2.5 1.18771752985104 5.44521737916627e-08 1.16496382338317e-08
0.000168029872930214 2.49999999999999 -5.69237687979919e-14 2.49999999999992 1.18772388606694 4.2684392887298e-08 1.70225984822035e-08
0.000176667427811522 2.5 5.69837122092052e-14 2.5 1.18773301670371 5.52711739340416e-08 1.15725101304053e-08
0.000190044157946963 2.49999999999999 -5.6929634765472e-14 2.49999999999992 1.18774651099624 4.39364394503885e-08 1.69616587593405e-08
0.0002 2.5 5.69836462135952e-14 2.5 1.18775594142653 5.65507411228565e-08 1.15183929193503e-08
0.00020003125 2.48437500000101 0.156249999891715 2.49999999999996 1.18775608677957 5.36968507485781e-07 5.00462993932034e-07
0.000200080322792107 2.45983860394743 0.401613960433941 2.49999999999997 1.18775736064219 7.08125559882114e-06 7.04150225079694e-06
0.000200104859188161 2.44757040592066 0.524295940692514 2.5000000000002 1.18777475649736 9.95422519820913e-05 9.94025889892877e-05
0.000200120858426583 2.43957078670938 0.604292132786727 2.50000000000082 1.18782475424526 0.000365334515747233 0.000364956907589935
0.000200139622752096 2.430188623953 0.698113760334599 2.50000000000146 1.18795056690824 0.00103198845224732 0.00103133007927214
0.000200156892847664 2.42155357616905 0.784464238159789 2.50000000000182 1.18811435384525 0.00190572060730505 0.00190490336096716
0.000200177008797936 2.41149560103325 0.885043989511099 2.50000000000194 1.18832987224513 0.00307139012279376 0.00307051915807616
0.00020018128599436 2.40935700282091 0.906429971629204 2.50000000000197 1.18837738553164 0.00333150018342071 0.00333064195452712
0.000200183424592573 2.40828770371476 0.917122962685921 2.50000000000224 1.18840257508655 0.00347074981406158 0.00346978271676543
0.000200187701788997 2.40614910550242 0.938508944782916 2.50000000000276 1.18846328500608 0.00380488560111261 0.00380367292250459
0.000200190851203262 2.40457439837005 0.954256016052332 2.50000000000495 1.18853154078517 0.00418538660240023 0.00418334542952886
0.000200193434880561 2.40328255972068 0.967174402438701 2.50000000000923 1.18863380156575 0.00475568852912827 0.00475185554306484
0.000200196000834243 2.40199958288003 0.980004170850943 2.50000000001381 1.18879831836496 0.00564563624742876 0.00563958273256643
0.000200198857055814 2.40057147209471 0.994285278674579 2.50000000001492 1.18902853887881 0.00685875040551407 0.00685202887791038
0.000200199435297417 2.40028235129396 0.997176486709219 2.5000000000163 1.18907645536277 0.00708732141940145 0.00707989442747452
0.000200199724418219 2.40013779089301 0.998622090717521 2.50000000001422 1.18909822776898 0.00715865374831418 0.00715299153691218
0.000200200036869767 2.39998156511937 1.00018434847584 2.50000000001635 1.18910520871024 0.00714502510285714 0.00719842126903259
0.000200200259310465 2.39987034477123 1.00129655196052 2.50000000002573 1.1891086514393 0.00685343719436972 0.00724368622656218
0.000200200429949197 2.39978502540455 1.00214974561134 2.49999999999805 1.18910307390961 0.00630796869848751 0.00731745135339454
0.000200200614786528 2.39969260674276 1.00307393224706 2.49999999992609 1.18913076155093 0.00500528494300911 0.007449172105002
0.000200200757537191 2.39962123141184 1.00378768553153 2.49999999971935 1.18909796809504 0.0145675902834039 0.00762306821044069
0.000200200860567275 2.39956971637139 1.00430283598892 2.49999999963512 1.18893431895187 0.106701233300643 0.0080222067912762
0.000200200882202285 2.39955889887547 1.00441101118027 2.49999999965204 1.18896036951997 0.156191892641793 0.00819298152100449
0.00020020090589436 2.39954705284594 1.0045294717824 2.49999999965475 1.18921062330958 0.254715444815829 0.00844241029217636
0.000200200933061302 2.39953346936324 1.00466530653388 2.49999999934921 1.18972169426718 0.450517666513061 0.00866178461313753
0.000200200949175582 2.39952541216656 1.00474587727021 2.49999999972296 1.18980498285568 0.601906131117924 0.0086039611033648
0.00020020095998421 2.39952000780961 1.00479991975652 2.49999999974625 1.18952176748354 0.707379034915191 0.00843203567324668
0.000200200971578962 2.39951421040703 1.00485789293284 2.50000000035777 1.18887100391602 0.822796897476852 0.00818984656215567
0.000200200981317519 2.39950934114556 1.00490658564395 2.50000000057351 1.18815748305931 0.920587459946479 0.00802830026516015
0.000200200988329671 2.3995058351453 1.00494164711981 2.50000000241899 1.18769819270087 0.991789295896044 0.00804431354272368
0.000200200996344323 2.39950182771967 1.0049817189491 2.50000000004807 1.18698099052442 1.07364917141567 0.00809534650452056
0.000200201003531189 2.3994982344357 1.00501765492736 2.50000000308061 1.18623485463911 1.14755881580815 0.00822864455593042
0.000200201010270256 2.39949486486165 1.00505134963655 2.50000000049362 1.1855731043871 1.21763401224166 0.00848086169442339
0.000200201017664365 2.39949116801063 1.00508832249733 2.50000000249515 1.18498852817668 1.29544849235622 0.00892554409160537
0.000200201023779597 2.39948811032076 1.00511889799618 2.50000000004048 1.18465379896417 1.36007907330098 0.00942385067339595
0.000200201031329539 2.3994843355425 1.00515665008685 2.50000000402265 1.18442616221601 1.43918723768888 0.0101692038190678
0.000200201039023514 2.39948048851294 1.00519511990138 2.50000000211945 1.1844495350694 1.51685687859896 0.0110586863049929
0.000200201045027688 2.3994774865895 1.0052251429966 2.50000000546802 1.18458219772099 1.57455002815422 0.0118178546336892
0.00020020105055798 2.39947472131506 1.00525279352686 2.5000000025733 1.18472110594426 1.62528846217898 0.0125105048260901
0.0002002010596279 2.39947018639696 1.00529814382696 2.5000000041608 1.18593538494966 1.70349187013335 0.0134137131255503
0.00020020106603918 2.3994669805085 1.00533019793143 2.49999999998741 1.18817051525391 1.75476927803672 0.0137885697932044
0.000200201073200627 2.39946339981527 1.00536600533178 2.50000000131913 1.19284028857622 1.80676989686997 0.013926744789959
0.000200201081349146 2.39945932529931 1.00540674534209 2.49999999680909 1.20164040856093 1.858344260661 0.0137646502066442
0.000200201089320997 2.39945533945825 1.00544660519535 2.49999999886652 1.21410813503846 1.90665481314248 0.0133612638893918
0.000200201097124154 2.39945143767432 1.00548561881225 2.49999999518734 1.2298598378883 1.95426068766585 0.0127927702898714
0.000200201108539856 2.399445729921 1.00554269784536 2.49999999685404 1.25808872887644 2.02160533348615 0.0117537162333901
0.000200201117416033 2.39944129167818 1.00558707708747 2.49999999287675 1.28328419334034 2.06908658258548 0.0108753735999348
0.000200201127974191 2.39943601276138 1.00563986914968 2.49999999545422 1.31543865138954 2.12050318668602 0.00987631432801679
0.000200201139781803 2.39943010884331 1.00569890590966 2.49999999374053 1.35286187246087 2.17362744943537 0.00891271603560743
