Time	2kV
-10.0E-9	-0.175504
-9.9E-9	0.0143942
-9.8E-9	-0.149954
-9.7E-9	0.133167
-9.6E-9	0.037182
-9.5E-9	0.0827577
-9.4E-9	0.113832
-9.3E-9	-0.216937
-9.2E-9	-0.178612
-9.1E-9	0.0219901
-9.0E-9	-0.177921
-8.9E-9	-0.00735785
-8.8E-9	-0.0764119
-8.7E-9	-0.0708876
-8.6E-9	-0.140287
-8.5E-9	-0.0294551
-8.4E-9	-0.048445
-8.3E-9	0.0306219
-8.2E-9	0.0913895
-8.1E-9	0.00748877
-8.0E-9	-0.0746856
-7.9E-9	-0.194494
-7.8E-9	-0.157896
-7.7E-9	-0.0684707
-7.6E-9	-0.151336
-7.5E-9	-0.00597677
-7.4E-9	-0.126131
-7.3E-9	-0.102998
-7.2E-9	0.118321
-7.1E-9	0.0102509
-7.0E-9	0.183231
-6.9E-9	0.178052
-6.8E-9	-0.0722687
-6.7E-9	-0.0805552
-6.6E-9	-0.0988545
-6.5E-9	0.0789597
-6.4E-9	0.137656
-6.3E-9	-0.277359
-6.2E-9	-0.245594
-6.1E-9	-0.0812457
-6.0E-9	-0.0919491
-5.9E-9	0.011632
-5.8E-9	0.110034
-5.7E-9	-0.00942947
-5.6E-9	0.0810313
-5.5E-9	-0.0387774
-5.4E-9	-0.158241
-5.3E-9	-0.0978187
-5.2E-9	-0.0584579
-5.1E-9	-0.195875
-5.0E-9	-0.0584579
-4.9E-9	-0.128202
-4.8E-9	-0.0853889
-4.7E-9	0.0713638
-4.6E-9	-0.052243
-4.5E-9	-0.116809
-4.4E-9	-0.233165
-4.3E-9	0.104855
-4.2E-9	-0.0339437
-4.1E-9	-0.235927
-4.0E-9	-0.081591
-3.9E-9	-0.0588031
-3.8E-9	-0.37369
-3.7E-9	-0.294277
-3.6E-9	0.0599699
-3.5E-9	0.0309672
-3.4E-9	0.125571
-3.3E-9	-0.052243
-3.2E-9	-0.132691
-3.1E-9	-0.156169
-3.0E-9	-0.0960923
-2.9E-9	0.107962
-2.8E-9	-0.302219
-2.7E-9	-0.363677
-2.6E-9	-0.131655
-2.5E-9	-0.0719234
-2.4E-9	-0.203471
-2.3E-9	-0.0443018
-2.2E-9	-0.167218
-2.1E-9	-0.167909
-2.0E-9	0.132822
-1.9E-9	-0.00183352
-1.8E-9	-0.130965
-1.7E-9	-0.0449923
-1.6E-9	-0.0128822
