time v(/Ch1)
2.60636479423402e-07 -0.433242713967973
2.60716479423402e-07 -0.433083904001199
2.60796479423402e-07 -0.432907006575479
2.61196479423402e-07 -0.432008463914853
2.63196479423402e-07 -0.427515244978183
2.63276479423402e-07 -0.427335644235881
2.63296479423402e-07 -0.427290744050305
2.63346479423402e-07 -0.427178984341268
2.63426479423402e-07 -0.42700001184116
2.63506479423402e-07 -0.426854810056198
2.63906479423402e-07 -0.426066363397677
2.65906479423402e-07 -0.422019574428977
2.65986479423402e-07 -0.421857589423287
2.66066479423402e-07 -0.4216952809026
2.66466479423402e-07 -0.420936231483397
2.68466479423402e-07 -0.417303885435392
2.68546479423402e-07 -0.417158784191489
2.68626479423402e-07 -0.417014797720273
2.69026479423402e-07 -0.416333875378796
2.71026479423402e-07 -0.412812643379019
2.71106479423402e-07 -0.412671424385843
2.71186479423402e-07 -0.412546023623976
2.71586479423402e-07 -0.411854988537078
2.73586479423402e-07 -0.408385064373534
2.73666479423402e-07 -0.408246144050385
2.73746479423402e-07 -0.408112698354324
2.74146479423402e-07 -0.407459773299743
2.76146479423402e-07 -0.40421643175322
2.76226479423402e-07 -0.404086615183084
2.76306479423402e-07 -0.403961259553855
2.76706479423402e-07 -0.403355801560052
2.78706479423402e-07 -0.400303759264631
2.78786479423402e-07 -0.400181501620622
2.78866479423402e-07 -0.400064148684371
2.79266479423402e-07 -0.399486209579908
2.81266479423402e-07 -0.396585334286269
2.81346479423402e-07 -0.396469225539185
2.81426479423402e-07 -0.396353115431908
2.81826479423402e-07 -0.39580090007367
2.83826479423402e-07 -0.393057053252088
2.83906479423402e-07 -0.39294725896066
2.83986479423402e-07 -0.392837630767427
2.84386479423402e-07 -0.39232430120835
2.86386479423402e-07 -0.389688888565053
2.86466479423402e-07 -0.389583233380329
2.86546479423402e-07 -0.389487950724735
2.86626479423402e-07 -0.389382742164347
2.86706479423402e-07 -0.389286233370882
2.87106479423402e-07 -0.388781866849273
2.89106479423402e-07 -0.386297111814865
2.89186479423402e-07 -0.38619783430221
2.89266479423402e-07 -0.386095821418602
2.89666479423402e-07 -0.385622132170092
2.91666479423402e-07 -0.383293360251343
2.91746479423402e-07 -0.383200209987001
2.91826479423402e-07 -0.383107207528543
2.92226479423402e-07 -0.382668470308073
2.94226479423402e-07 -0.380447858015876
2.94306479423402e-07 -0.380358904608022
2.94386479423402e-07 -0.380269825599142
2.94786479423402e-07 -0.379846094469976
2.96786479423402e-07 -0.377705504073468
2.96866479423402e-07 -0.377619776527114
2.96946479423402e-07 -0.37753394554879
2.97346479423402e-07 -0.377126078011851
2.99346479423402e-07 -0.375099924740924
2.99426479423402e-07 -0.375018849548055
2.99506479423402e-07 -0.374937835443132
2.99906479423402e-07 -0.37455328976688
3.01906479423402e-07 -0.372633092762152
